"Obama has called the GOP budget social Darwinism. Nice try, but they believe in social creationism.",0.0625,0.0,obama has called the gop budget social darwinism nice try but they believe in social creationism
#KimKardashiansNextBoyFriend Obama?,0.0,0.0,kimkardashiansnextboyfriend obama
Obey: Obama still not satisfied with the lapdog press (@times247)  http://t.co/FVcoWj7p,0.08333333333333333,0.0,obey obama still not satisfied with the lapdog press times247  httptcofvcowj7p
Obama says knock you out -- http://t.co/PUZRq7HU #screwytees,0.125,0.125,obama says knock you out  httptcopuzrq7hu screwytees
RT @HonestConservat: EXCLUSIVE Selma Bouvier w 3 am Kagan 2 Obama call http://t.co/JdrQZSJr THE SHREW @SgtTim911,0.0625,0.0625,rt honestconservat exclusive selma bouvier w 3 am kagan 2 obama call httptcojdrqzsjr the shrew sgttim911
"RT @djtechchicago: Apparently, he's hiding Barack Obama's copy of the Constitution. #WhatsRomneyHiding",0.0,0.0,rt djtechchicago apparently hes hiding barack obamas copy of the constitution whatsromneyhiding
#WhatsRomneyHiding Michelle Obama's divorce attorney on speed dial?,0.0,0.125,whatsromneyhiding michelle obamas divorce attorney on speed dial
Obama is a puppet for America. There's more to his face and words.,0.0,0.07692307692307693,obama is a puppet for america theres more to his face and words
RT @JeffersonObama: Arianna Huffington blasting President Obama at any chance and praising GOP. This pic explains things. http://t.co/Ov6I5CoS,0.05555555555555555,0.0,rt jeffersonobama arianna huffington blasting president obama at any chance and praising gop this pic explains things httptcoov6i5cos
RT @charlesdavis84: All those people with Obama logos on their avatar? If someone could do that for me but with the Pepsi logo I'd appreciate it.,0.0,0.0,rt charlesdavis84 all those people with obama logos on their avatar if someone could do that for me but with the pepsi logo id appreciate it
@edshow #edshow Obama is the one looking out for women the GOP is in fiction world,0.0,0.0625,edshow edshow obama is the one looking out for women the gop is in fiction world
GOP calls Pres. Obama a Thug and we wonder why #TrayvonMartin / was killed,0.07142857142857142,0.0,gop calls pres obama a thug and we wonder why trayvonmartin  was killed
@BaisdenLive Look at the Barack Obama Chicken Nugget on ebay. You are not going to believe this. Why is this allowed?,0.0,0.0,baisdenlive look at the barack obama chicken nugget on ebay you are not going to believe this why is this allowed
"RT @Professor_Why: #WhatsRomneyHiding - his willingness to tell police officers they ""acted stupidly"" w/out knowing the facts... Oh wait, that's Obama again!",0.09090909090909091,0.045454545454545456,rt professorwhy whatsromneyhiding  his willingness to tell police officers they acted stupidly wout knowing the facts oh wait thats obama again
RT @markknoller: Pres Obama says it'll be a big debate and a fun debate because - he says - he has the truth on his side.,0.11538461538461539,0.0,rt markknoller pres obama says itll be a big debate and a fun debate because  he says  he has the truth on his side
White House in damage control over Obama Supreme Court remarks: The White House was forced on the defensive on W... http://t.co/2Yy8Srct,0.14285714285714285,0.09523809523809523,white house in damage control over obama supreme court remarks the white house was forced on the defensive on w httptco2yy8srct
"RT @ForAmerica: McCaskill Calls For Obama to Release Day&Half Supply of Oil From SPR via @MOPNS But Biden says oil policy is ""best it's ever been"" #MOsen",0.0,0.0,rt foramerica mccaskill calls for obama to release dayhalf supply of oil from spr via mopns but biden says oil policy is best its ever been mosen
a  large number of #GOP women will vote for #Obama #edshow,0.25,0.0,a  large number of gop women will vote for obama edshow
Obama on the offensive! RT @BarackObama: So what's Romney hiding? Tweet @MittRomney to demand he release his tax returns. #WhatsRomneyHiding,0.0,0.05,obama on the offensive rt barackobama so whats romney hiding tweet mittromney to demand he release his tax returns whatsromneyhiding
Obama's college transcripts. #WhatsRomneyHiding,0.0,0.0,obamas college transcripts whatsromneyhiding
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"You want others to know how you feel and say sorry without you telling them what's wrong. Last time I checked, Obama is still president :/",0.038461538461538464,0.07692307692307693,you want others to know how you feel and say sorry without you telling them whats wrong last time i checked obama is still president 
RT @astroterf: RT @scarlett_0hara: RT @rightchange2012: Veteran groups blast Obama's plan 2 double (cont) http://t.co/ZuKdTidE,0.0,0.0,rt astroterf rt scarlett0hara rt rightchange2012 veteran groups blast obamas plan 2 double cont httptcozukdtide
"@maddow Rachel I just seen the HBO documentary hot coffee.I feel so upset, we need four more years of President Obama 1000% certtain!",0.08695652173913043,0.08695652173913043,maddow rachel i just seen the hbo documentary hot coffeei feel so upset we need four more years of president obama 1000 certtain
"American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"Obama Is Like The Worst President Ever ,",0.125,0.125,obama is like the worst president ever 
"RT @yahoo_music: Madonna Tweets Britney, Katy, Skrillex And Obama, Plus Exclusive Ultra Music Fest Video! http://t.co/EteMGqKk",0.125,0.0,rt yahoomusic madonna tweets britney katy skrillex and obama plus exclusive ultra music fest video httptcoetemgqkk
"RT @keder: His record includes making businesses profitable, instead of bankrupting and extorting them. (Unlike Obama) #WhatsRomneyHiding",0.058823529411764705,0.0,rt keder his record includes making businesses profitable instead of bankrupting and extorting them unlike obama whatsromneyhiding
One Direction Tolak Undangan Michelle Obama! http://t.co/S8lPX0SZ [Like it? http://t.co/WIDZGjRj ],0.09090909090909091,0.0,one direction tolak undangan michelle obama httptcos8lpx0sz like it httptcowidzgjrj 
whats up with the obama trend ? Leave the man alone ! Hes done ALOT,0.13333333333333333,0.0,whats up with the obama trend  leave the man alone  hes done alot
President Obama is coming to FAU April 10 &gt;__&lt; parking is going to be worse than it already is... @nicholle_,0.0,0.05,president obama is coming to fau april 10 gtlt parking is going to be worse than it already is nicholle
My favourite drawing I've ever received on draw something is Nicole's drawing of Obama. Piece of art that was.,0.0,0.0,my favourite drawing ive ever received on draw something is nicoles drawing of obama piece of art that was
"RT @GEsfandiari: ""Obama signaled US would accept Iranian civilian nuclear program if Khamenei back up claim #Iran will not pursue nuk...",0.047619047619047616,0.0,rt gesfandiari obama signaled us would accept iranian civilian nuclear program if khamenei back up claim iran will not pursue nuk
How come Barack Obama has twitter? Some illuminati trying to disguise himself. He puts voodoo on his followers,0.05555555555555555,0.05555555555555555,how come barack obama has twitter some illuminati trying to disguise himself he puts voodoo on his followers
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"RT @17bbomb: @geoff9cow Right! Of course! It's ALWAYS someone else's fault when it comes to Obama! / about 95% is. very good odds, too.",0.125,0.0,rt 17bbomb geoff9cow right of course its always someone elses fault when it comes to obama  about 95 is very good odds too
"RT @ridiamond: WORD!! ""Obama's Organizational Advantage on Full Display in N.H.""",0.09090909090909091,0.0,rt ridiamond word obamas organizational advantage on full display in nh
http://t.co/JrUSKBu9,0.0,0.0,httptcojruskbu9
Obama Signs Rare Bipartisan Jobs Bill: http://t.co/W761OyXD via @youtube,0.0,0.0,obama signs rare bipartisan jobs bill httptcow761oyxd via youtube
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"RT @markknoller: Pres Obama sayd ""I cannot wait"" for the ""big important debate"" we are going to have on these issues.",0.047619047619047616,0.0,rt markknoller pres obama sayd i cannot wait for the big important debate we are going to have on these issues
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
RT @Drudge_Report: Obama setting up Supreme Court as campaign issue... http://t.co/1IiLN01H,0.09090909090909091,0.0,rt drudgereport obama setting up supreme court as campaign issue httptco1iiln01h
@markknoller funny Obama saying Romney should release stuff. Mr birth certificate. mr no college records. must think we are stupid.,0.05,0.05,markknoller funny obama saying romney should release stuff mr birth certificate mr no college records must think we are stupid
RT @markknoller: Pres Obama says it'll be a big debate and a fun debate because - he says - he has the truth on his side.,0.11538461538461539,0.0,rt markknoller pres obama says itll be a big debate and a fun debate because  he says  he has the truth on his side
"RT @mediaite: The Five's Greg Gutfeld: President Obama Isn't A Bully, He's A Whiner (VIDEO) http://t.co/kWBO2rSs",0.0,0.0625,rt mediaite the fives greg gutfeld president obama isnt a bully hes a whiner video httptcokwbo2rss
President  Obama has the highest office in America yet he hasn't the power to speak freely. So much for the First Amendment! #backoffdummies,0.041666666666666664,0.0,president  obama has the highest office in america yet he hasnt the power to speak freely so much for the first amendment backoffdummies
Obey: Obama still not satisfied with the lapdog press http://t.co/4vxMWaZv #wethepeople in the way! #tcot #sgp,0.0,0.0,obey obama still not satisfied with the lapdog press httptco4vxmwazv wethepeople in the way tcot sgp
"RT @MsRock4Ever: GOP is SO desperate and so Frightened of President Obama that they are suppressing votes in several states, but it will cause them loss too.",0.037037037037037035,0.07407407407407407,rt msrock4ever gop is so desperate and so frightened of president obama that they are suppressing votes in several states but it will cause them loss too
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"RT @TPO_Hisself: For the first time in history, CONTRARY 2 Dr. King's wishes, Obama is calling on voters FOR THE COLOR OF THEIR SKIN! #RACIST! #TREASON!",0.038461538461538464,0.11538461538461539,rt tpohisself for the first time in history contrary 2 dr kings wishes obama is calling on voters for the color of their skin racist treason
Today's Federal Debt is about $15.2 Trillion. Obama has added 43% since he usurped the office of POTUS. #tcot #p2 #ocra #teaparty,0.0,0.0,todays federal debt is about 152 trillion obama has added 43 since he usurped the office of potus tcot p2 ocra teaparty
"RT @TPO_Hisself: For the first time in history, CONTRARY 2 Dr. King's wishes, Obama is calling on voters FOR THE COLOR OF THEIR SKIN! #RACIST! #TREASON!",0.038461538461538464,0.11538461538461539,rt tpohisself for the first time in history contrary 2 dr kings wishes obama is calling on voters for the color of their skin racist treason
RT @Talkmaster: Oh now I get it. Obama was talking in shorthand and we were just too dumb to understand how smart he really is.  Gagme.,0.1111111111111111,0.037037037037037035,rt talkmaster oh now i get it obama was talking in shorthand and we were just too dumb to understand how smart he really is  gagme
"RT @susie_c: Latest on #NDAA lawsuit from @sparrowmedia, which has the prettiest website. http://t.co/RQQpZJHd",0.0,0.0,rt susiec latest on ndaa lawsuit from sparrowmedia which has the prettiest website httptcorqqpzjhd
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
Still hoping that #Obama is gonna make some #Romney/Bob Ewell comparison before the night is over. http://t.co/0TBmBaKB #p2,0.0,0.0,still hoping that obama is gonna make some romneybob ewell comparison before the night is over httptco0tbmbakb p2
RT @LouTommoBum: Michelle Obama invited the boys to her Easter party. l0l,0.0,0.0,rt loutommobum michelle obama invited the boys to her easter party l0l
RT @PoliticalGal11: Archbishop Dolan: Obama lied to his face. Read at http://t.co/wX1RzFKm #tcot #prolife #tlot #sgp #MSM #tpp #Catholic #lnyhbt #withnewt #army,0.0,0.0,rt politicalgal11 archbishop dolan obama lied to his face read at httptcowx1rzfkm tcot prolife tlot sgp msm tpp catholic lnyhbt withnewt army
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"After Threatening Judges, GOP Accuses Obama of Judicial Intimidation http://t.co/rHr93J15 via @dailykos -- #Republican #Disinformation",0.06666666666666667,0.2,after threatening judges gop accuses obama of judicial intimidation httptcorhr93j15 via dailykos  republican disinformation
click obama related trending topic. racist bullshit every few tweets. [arrested development dove macro],0.0,0.07142857142857142,click obama related trending topic racist bullshit every few tweets arrested development dove macro
RT @ItsLoopzProd: LOOOOOOOOOOOOOOOOOOOOOOOOOOOOL This is why i rate obama http://t.co/vsOYFhSa,0.0,0.0,rt itsloopzprod looooooooooooooooooooooooooool this is why i rate obama httptcovsoyfhsa
"RT @HarryFacts1D: ''Harry Styles describe a Michelle Obama como una mujer muy atractiva.'' OBAMA ESCONDE A TU ESPOSA Y A TUS HIJOS, STYLES VIENE EN CAMINO.",0.0,0.0,rt harryfacts1d harry styles describe a michelle obama como una mujer muy atractiva obama esconde a tu esposa y a tus hijos styles viene en camino
Late Night Jokes: Obama Unqualified to Be a Trekkie: ,0.1,0.1,late night jokes obama unqualified to be a trekkie 
The Tonight Show With Jay Leno,0.0,0.0,the tonight show with jay leno
Congratulations to Mitt Ro... http://t.co/krM3IuSt,0.2,0.0,congratulations to mitt ro httptcokrm3iust
RT @jltho: This #WhatsRomneyHiding hashtag is entertaining. Is this another social media backfire from the Obama administration?,0.058823529411764705,0.0,rt jltho this whatsromneyhiding hashtag is entertaining is this another social media backfire from the obama administration
"Obama: ""To avoid voter fraud, I have authorized $1.5B to hire the Black Panthers for Security at polling places. We are watchigng you""",0.043478260869565216,0.08695652173913043,obama to avoid voter fraud i have authorized 15b to hire the black panthers for security at polling places we are watchigng you
RT @Blondiecakess: Obama's skin color is not a reason to vote for him..,0.07692307692307693,0.0,rt blondiecakess obamas skin color is not a reason to vote for him
"RT @Our4thEstate: @edshow The President of the United States, Barack Obama, is all that stands between the rights of the 99% & the Party of Koch & Norquist.",0.10714285714285714,0.0,rt our4thestate edshow the president of the united states barack obama is all that stands between the rights of the 99  the party of koch  norquist
RT @JeffersonObama: Arianna Huffington blasting President Obama at any chance and praising GOP. This pic explains things. http://t.co/Ov6I5CoS,0.05555555555555555,0.0,rt jeffersonobama arianna huffington blasting president obama at any chance and praising gop this pic explains things httptcoov6i5cos
#newbedon 4/6/2012 4:25:20 AM Obama Wins Landslide Presidential Election...With Online Gamers http://t.co/JGbJwE9Z,0.0,0.0,newbedon 462012 42520 am obama wins landslide presidential electionwith online gamers httptcojgbjwe9z
"Happy Passover, love Obama http://t.co/gHQ3NrWP",0.4,0.0,happy passover love obama httptcoghq3nrwp
"Obama has called the GOP budget social Darwinism. Nice try, but they believe in social creationism.",0.0625,0.0,obama has called the gop budget social darwinism nice try but they believe in social creationism
"In his teen years, Obama has been known to use marijuana and cocaine.",0.0,0.0,in his teen years obama has been known to use marijuana and cocaine
Why Did Obama Invite Al Sharpton to Easter Prayer Breakfast But Not Southern Baptist Leaders? http://t.co/Zgsh2zyo via @theblaze,0.0,0.0,why did obama invite al sharpton to easter prayer breakfast but not southern baptist leaders httptcozgsh2zyo via theblaze
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"RT @jmimac351: @EWErickson $4 gas, high unemployment & Obama is worried about Augusta National. This is smoke and mirrors for utter failure. #cantwait2vote",0.043478260869565216,0.13043478260869565,rt jmimac351 ewerickson 4 gas high unemployment  obama is worried about augusta national this is smoke and mirrors for utter failure cantwait2vote
"Love how the #Obama campaign's #WhatsRomneyHiding back fired, now #WhatsObamaHiding is trending. Seeing a lot of birth certificate tweets.",0.05263157894736842,0.0,love how the obama campaigns whatsromneyhiding back fired now whatsobamahiding is trending seeing a lot of birth certificate tweets
#WhatsRomneyHiding Obama's Mom Jeans,0.0,0.0,whatsromneyhiding obamas mom jeans
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"With all the truth that has been exposed about the Obama Administration, you have to wonder why any Americans in... http://t.co/1Pso0ULz",0.0,0.047619047619047616,with all the truth that has been exposed about the obama administration you have to wonder why any americans in httptco1pso0ulz
Yes #WHFail RT @jltho: This #WhatsRomneyHiding hashtag is entertaining. Is this another social media backfire from the Obama administration?,0.05263157894736842,0.0,yes whfail rt jltho this whatsromneyhiding hashtag is entertaining is this another social media backfire from the obama administration
"#Obama Signs ""Fraud-Friendly"" JOBS #Act into Law: http://t.co/j92pfp6T | #business #economist",0.09090909090909091,0.0,obama signs fraudfriendly jobs act into law httptcoj92pfp6t  business economist
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
@edshow that's because Obama is a thug and unqualified to be president,0.0,0.08333333333333333,edshow thats because obama is a thug and unqualified to be president
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
@Bdcochese I'm scared to hear it any anti Obama songs or is uncle AL only against his government when a republicans in office,0.0,0.08695652173913043,bdcochese im scared to hear it any anti obama songs or is uncle al only against his government when a republicans in office
@AustinPaul19 Why's Obama hiding his school record's ?,0.125,0.0,austinpaul19 whys obama hiding his school records 
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"Obama: If you're a racist and you know it, and you REALLY want to show it, VOTE FOR ME!!   http://t.co/CK84NpUq #TREASON",0.08695652173913043,0.08695652173913043,obama if youre a racist and you know it and you really want to show it vote for me   httptcock84npuq treason
"RT @blakehounshell: From Ignatius: ""U.S. officials hope [Putin] can broker a Syria deal before he meets Obama at the G-8 summit next month.""",0.08695652173913043,0.0,rt blakehounshell from ignatius us officials hope putin can broker a syria deal before he meets obama at the g8 summit next month
@Mr_JPatt did you ever read obama's book before he became president?,0.0,0.0,mrjpatt did you ever read obamas book before he became president
I love President Obama @BarackObama,0.2,0.0,i love president obama barackobama
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
Obama Warns Unelected Supreme Court Against Striking Down Healthcare & J...: http://t.co/0bk8kViG via @youtube,0.21428571428571427,0.14285714285714285,obama warns unelected supreme court against striking down healthcare  j httptco0bk8kvig via youtube
"@BarackObama Obama vs. the Constitution, the Bill of Rights, the Declaration of Independence, etc...",0.14285714285714285,0.0,barackobama obama vs the constitution the bill of rights the declaration of independence etc
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
RT @Steto33: @edshow Tomorrow's GOP headline: Obama hates golf. #edshow,0.0,0.0,rt steto33 edshow tomorrows gop headline obama hates golf edshow
@markknoller Does Obama really want to dig into Romney's past like that? Wow! It looks like #vetthepresident time. Go Breitbart acolytes!,0.047619047619047616,0.047619047619047616,markknoller does obama really want to dig into romneys past like that wow it looks like vetthepresident time go breitbart acolytes
Obama is verifiably NUTS &gt; now challenging the legitimacy of the U.S. Supreme Court http://t.co/XliEIxvs #rnc #economy #teabagger,0.1111111111111111,0.05555555555555555,obama is verifiably nuts gt now challenging the legitimacy of the us supreme court httptcoxlieixvs rnc economy teabagger
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
@danwho equalization. That sounds like 'redistribution of wealth' aka another commie plot from Obama.,0.0,0.0,danwho equalization that sounds like redistribution of wealth aka another commie plot from obama
Obama signs JOBS Act to boost startup firms - http://t.co/SELMj7zZ,0.2,0.0,obama signs jobs act to boost startup firms  httptcoselmj7zz
"RT @JeffersonObama: 62% of U.S. Jews would reelect Obama, 4% say Israel is most important issue - Haaretz http://t.co/VhURDtdO http://t.co/gIGmn5kE",0.1,0.0,rt jeffersonobama 62 of us jews would reelect obama 4 say israel is most important issue  haaretz httptcovhurdtdo httptcogigmn5ke
RT @betseyross: Democrats & EPA move to destroy US coal industry http://t.co/NFOS1n9d @ClaireCMC @KayHagan @MarkWarner @SenJimDeMint @MarcoRubio @RandPaul,0.05555555555555555,0.0,rt betseyross democrats  epa move to destroy us coal industry httptconfos1n9d clairecmc kayhagan markwarner senjimdemint marcorubio randpaul
RT @JeffersonObama: Arianna Huffington blasting President Obama at any chance and praising GOP. This pic explains things. http://t.co/Ov6I5CoS,0.05555555555555555,0.0,rt jeffersonobama arianna huffington blasting president obama at any chance and praising gop this pic explains things httptcoov6i5cos
RT @theblaze: DOJ Issues Letter Clarifying Obama's Remarks: Court's Power to Strike Down Laws 'Beyond Dispute' http://t.co/pAe0TYYI via @theblaze mm,0.0,0.1,rt theblaze doj issues letter clarifying obamas remarks courts power to strike down laws beyond dispute httptcopae0tyyi via theblaze mm
"RT @Our4thEstate: @edshow The President of the United States, Barack Obama, is all that stands between the rights of the 99% & the Party of Koch & Norquist.",0.10714285714285714,0.0,rt our4thestate edshow the president of the united states barack obama is all that stands between the rights of the 99  the party of koch  norquist
"American Kid ""You're From The UK? Ohhh Cool, So Do You Have Tea With The Queen?"". British Kid: ""Do You Like, Go To Mcdonalds With Obama?""",0.0,0.0,american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
Obama dings men-only Masters host @ http://t.co/kexX62X8 US President Barack Obama says w...,0.15384615384615385,0.0,obama dings menonly masters host  httptcokexx62x8 us president barack obama says w
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"@FHQ of course, if Obama just wins PA, he's at 270 in most scenarios. Obama goes 2/4, he's definitely over it (assuming VA is blue.)",0.04,0.0,fhq of course if obama just wins pa hes at 270 in most scenarios obama goes 24 hes definitely over it assuming va is blue
Former White House Speechwriter Suggests Military Coup Could Oust Obama http://t.co/NddhkcNX,0.09090909090909091,0.0,former white house speechwriter suggests military coup could oust obama httptconddhkcnx
Pres Obama should worry about something else(i.e. economy) instead of Augusta's membership policies..Policy was in place way before his time,0.0,0.05,pres obama should worry about something elseie economy instead of augustas membership policiespolicy was in place way before his time
@Obama2012 @truthteam2012 @gop Obama run on your record and your budgets that were voted down 97-0 and 414-0 instead if this nonsense,0.0,0.09090909090909091,obama2012 truthteam2012 gop obama run on your record and your budgets that were voted down 970 and 4140 instead if this nonsense
"RT @sunnyright: A $1 million donation from a guy who refers to women as c*nts and tw*ts. Oh, wait, that's Obama and Bill Maher. #WhatsRomneyHiding",0.0,0.0,rt sunnyright a 1 million donation from a guy who refers to women as cnts and twts oh wait thats obama and bill maher whatsromneyhiding
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"""Service is the rent we pay to live on earth"" Michelle Obama",0.08333333333333333,0.0,service is the rent we pay to live on earth michelle obama
RT @Talkmaster: Oh now I get it. Obama was talking in shorthand and we were just too dumb to understand how smart he really is.  Gagme.,0.1111111111111111,0.037037037037037035,rt talkmaster oh now i get it obama was talking in shorthand and we were just too dumb to understand how smart he really is  gagme
"@DavidCornDC Mr Corn I just seen the HBO documentary hot coffee.I feel so upset, we need four more years of President Obama 1000% certtain!",0.08333333333333333,0.08333333333333333,davidcorndc mr corn i just seen the hbo documentary hot coffeei feel so upset we need four more years of president obama 1000 certtain
"For the first time in history, CONTRARY 2 Dr. King's wishes, Obama is calling on voters FOR THE COLOR OF THEIR SKIN! #RACIST! #TREASON!",0.041666666666666664,0.125,for the first time in history contrary 2 dr kings wishes obama is calling on voters for the color of their skin racist treason
"It's incredible that something like #WhatsRomneyHiding would be trending. Yet Obama is sneakiest, harmful person and no one says anything.",0.05,0.05,its incredible that something like whatsromneyhiding would be trending yet obama is sneakiest harmful person and no one says anything
"RT @JeffersonObama: 62% of U.S. Jews would reelect Obama, 4% say Israel is most important issue - Haaretz http://t.co/VhURDtdO http://t.co/gIGmn5kE",0.1,0.0,rt jeffersonobama 62 of us jews would reelect obama 4 say israel is most important issue  haaretz httptcovhurdtdo httptcogigmn5ke
Archbishop Dolan: Obama lied to his face. Read at http://t.co/wX1RzFKm #tcot #prolife #tlot #sgp #MSM #tpp #Catholic #lnyhbt #withnewt #army,0.0,0.0,archbishop dolan obama lied to his face read at httptcowx1rzfkm tcot prolife tlot sgp msm tpp catholic lnyhbt withnewt army
THIS is what the gun sale surge was for when Obama was elected. #thinkaboutit,0.07142857142857142,0.0,this is what the gun sale surge was for when obama was elected thinkaboutit
@NHLWingsfanKay well whiter obama :P,0.2,0.0,nhlwingsfankay well whiter obama p
President Obama ^ Lindsay Lohan ^ USA Intel public scams ^ Press 2007 pissed off Analyt64  = DC courier type magnet on USA White House.,0.23076923076923078,0.0,president obama  lindsay lohan  usa intel public scams  press 2007 pissed off analyt64   dc courier type magnet on usa white house
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
RT @OrwellForce: Everything Obama did before the age of 35 #WhatsRomneyHiding,0.0,0.0,rt orwellforce everything obama did before the age of 35 whatsromneyhiding
"@VRWCTexan FIRST OF ALL OBAMA WAS"" NOT"" A CONSTITUTIONAL LAW  PROFESSOR , HE WAS ""NOT"" AN TENURED PROFESSOR, HE WAS AN INSTRUCTOR,THATS IT",0.08333333333333333,0.0,vrwctexan first of all obama was not a constitutional law  professor  he was not an tenured professor he was an instructorthats it
"Bean on my pocket, Obama on my wrist.",0.0,0.0,bean on my pocket obama on my wrist
